,bridge,event,text,created_at,local_date
199,Lower Spokane St,open,The Lower Spokane St Bridge has reopened to   traffic - 11:30:00 AM,2016-09-20 18:30:02,2016-09-20 11:30:02
198,Fremont,closed,The Fremont Bridge has closed to traffic -   11:38:57 AM,2016-09-20 18:38:59,2016-09-20 11:38:59
197,Fremont,open,The Fremont Bridge has reopened to traffic -   11:44:39 AM,2016-09-20 18:44:43,2016-09-20 11:44:43
196,Lower Spokane St,closed,The Lower Spokane St Bridge has closed to   traffic - 12:11:35 PM,2016-09-20 19:11:41,2016-09-20 12:11:41
195,Lower Spokane St,open,The Lower Spokane St Bridge has reopened to   traffic - 12:19:14 PM,2016-09-20 19:19:18,2016-09-20 12:19:18
194,University,closed,The University Bridge has closed to traffic   - 12:19:21 PM,2016-09-20 19:19:23,2016-09-20 12:19:23
193,University,open,The University Bridge has reopened to   traffic - 12:20:11 PM,2016-09-20 19:20:16,2016-09-20 12:20:16
192,Fremont,closed,The Fremont Bridge has closed to traffic -   12:30:09 PM,2016-09-20 19:30:11,2016-09-20 12:30:11
191,Fremont,open,The Fremont Bridge has reopened to traffic -   12:34:53 PM,2016-09-20 19:34:56,2016-09-20 12:34:56
190,Fremont,closed,The Fremont Bridge has closed to traffic -   12:50:28 PM,2016-09-20 19:50:31,2016-09-20 12:50:31
189,Fremont,open,The Fremont Bridge has reopened to traffic -   12:55:39 PM,2016-09-20 19:55:42,2016-09-20 12:55:42
188,Fremont,closed,The Fremont Bridge has closed to traffic -   1:28:46 PM,2016-09-20 20:28:49,2016-09-20 13:28:49
187,Fremont,open,The Fremont Bridge has reopened to traffic -   1:33:13 PM,2016-09-20 20:33:16,2016-09-20 13:33:16
186,Ballard,closed,The Ballard Bridge has closed to traffic -   1:50:10 PM,2016-09-20 20:50:12,2016-09-20 13:50:12
185,Ballard,open,The Ballard Bridge has reopened to traffic -   2:05:14 PM,2016-09-20 21:05:16,2016-09-20 14:05:16
184,Ballard,closed,The Ballard Bridge has closed to traffic -   2:28:33 PM,2016-09-20 21:28:35,2016-09-20 14:28:35
183,Fremont,closed,The Fremont Bridge has closed to traffic -   2:33:26 PM,2016-09-20 21:33:29,2016-09-20 14:33:29
182,Ballard,open,The Ballard Bridge has reopened to traffic -   2:33:34 PM,2016-09-20 21:33:36,2016-09-20 14:33:36
181,Fremont,open,The Fremont Bridge has reopened to traffic -   2:41:29 PM,2016-09-20 21:41:33,2016-09-20 14:41:33
180,Fremont,closed,The Fremont Bridge has closed to traffic -   2:42:23 PM,2016-09-20 21:42:25,2016-09-20 14:42:25
179,Fremont,open,The Fremont Bridge has reopened to traffic -   2:48:38 PM,2016-09-20 21:48:43,2016-09-20 14:48:43
178,Fremont,closed,The Fremont Bridge has closed to traffic -   2:58:54 PM,2016-09-20 21:58:57,2016-09-20 14:58:57
177,Fremont,open,The Fremont Bridge has reopened to traffic -   3:07:24 PM,2016-09-20 22:07:28,2016-09-20 15:07:28
176,University,closed,The University Bridge has closed to traffic   - 3:07:29 PM,2016-09-20 22:07:32,2016-09-20 15:07:32
175,University,open,The University Bridge has reopened to   traffic - 3:09:22 PM,2016-09-20 22:09:26,2016-09-20 15:09:26
174,University,closed,The University Bridge has closed to traffic   - 3:43:00 PM,2016-09-20 22:43:04,2016-09-20 15:43:04
173,University,open,The University Bridge has reopened to   traffic - 3:52:00 PM,2016-09-20 22:52:02,2016-09-20 15:52:02
172,Fremont,closed,The Fremont Bridge has closed to traffic -   9:22:00 AM,2016-09-21 16:22:03,2016-09-21 09:22:03
171,Fremont,open,The Fremont Bridge has reopened to traffic -   9:28:52 AM,2016-09-21 16:28:55,2016-09-21 09:28:55
170,Fremont,closed,The Fremont Bridge has closed to traffic -   9:41:02 AM,2016-09-21 16:41:06,2016-09-21 09:41:06
169,Fremont,open,The Fremont Bridge has reopened to traffic -   9:44:36 AM,2016-09-21 16:44:49,2016-09-21 09:44:49
168,Fremont,closed,The Fremont Bridge has closed to traffic - 9:50:23 AM,2016-09-21 16:50:56,2016-09-21 09:50:56
167,Fremont,open,The Fremont Bridge has reopened to traffic -   9:53:23 AM,2016-09-21 16:53:26,2016-09-21 09:53:26
166,Ballard,closed,The Ballard Bridge has closed to traffic -   9:54:17 AM,2016-09-21 16:54:19,2016-09-21 09:54:19
165,Ballard,open,The Ballard Bridge has reopened to traffic -   10:06:38 AM,2016-09-21 17:06:41,2016-09-21 10:06:41
164,Montlake,closed,The Montlake Bridge has closed to traffic -   10:06:43 AM,2016-09-21 17:06:46,2016-09-21 10:06:46
163,Montlake,open,The Montlake Bridge has reopened to traffic   - 10:14:13 AM,2016-09-21 17:14:17,2016-09-21 10:14:17
162,University,closed,The University Bridge has closed to traffic   - 10:18:01 AM,2016-09-21 17:18:05,2016-09-21 10:18:05
161,University,open,The University Bridge has reopened to   traffic - 10:22:34 AM,2016-09-21 17:22:37,2016-09-21 10:22:37
160,Ballard,closed,The Ballard Bridge has closed to traffic -   10:31:20 AM,2016-09-21 17:31:22,2016-09-21 10:31:22
159,Ballard,open,The Ballard Bridge has reopened to traffic -   10:35:09 AM,2016-09-21 17:35:12,2016-09-21 10:35:12
158,Fremont,closed,The Fremont Bridge has closed to traffic -   10:40:31 AM,2016-09-21 17:40:35,2016-09-21 10:40:35
157,Fremont,open,The Fremont Bridge has reopened to traffic -   10:47:13 AM,2016-09-21 17:47:16,2016-09-21 10:47:16
156,South Park,closed,The South Park Bridge has closed to traffic   - 11:14:00 AM,2016-09-21 18:14:23,2016-09-21 11:14:23
155,South Park,open,The South Park Bridge has reopened to   traffic - 11:35:00 AM,2016-09-21 18:35:02,2016-09-21 11:35:02
154,1st Ave S,closed,The 1st Ave S Bridge has closed to traffic -   11:35:03 AM,2016-09-21 18:35:04,2016-09-21 11:35:04
153,1st Ave S,open,The 1st Ave S Bridge has reopened to traffic   - 11:38:46 AM,2016-09-21 18:38:49,2016-09-21 11:38:49
152,Fremont,closed,The Fremont Bridge has closed to traffic -   12:58:14 PM,2016-09-21 19:58:16,2016-09-21 12:58:16
151,Ballard,closed,The Ballard Bridge has closed to traffic -   1:01:43 PM,2016-09-21 20:01:46,2016-09-21 13:01:46
150,Fremont,open,The Fremont Bridge has reopened to traffic -   1:01:48 PM,2016-09-21 20:01:50,2016-09-21 13:01:50
149,Ballard,open,The Ballard Bridge has reopened to traffic -   1:04:10 PM,2016-09-21 20:04:13,2016-09-21 13:04:13
148,Fremont,closed,The Fremont Bridge has closed to traffic -   1:52:42 PM,2016-09-21 20:52:43,2016-09-21 13:52:43
147,Fremont,open,The Fremont Bridge has reopened to traffic -   1:55:34 PM,2016-09-21 20:55:37,2016-09-21 13:55:37
146,Ballard,closed,The Ballard Bridge has closed to traffic -   2:15:26 PM,2016-09-21 21:15:31,2016-09-21 14:15:31
145,Ballard,open,The Ballard Bridge has reopened to traffic -   2:18:17 PM,2016-09-21 21:18:19,2016-09-21 14:18:19
144,Montlake,closed,The Montlake Bridge has closed to traffic -   2:33:09 PM,2016-09-21 21:33:11,2016-09-21 14:33:11
143,Montlake,open,The Montlake Bridge has reopened to traffic   - 2:37:01 PM,2016-09-21 21:37:05,2016-09-21 14:37:05
142,1st Ave S,closed,The 1st Ave S Bridge has closed to traffic -   2:38:34 PM,2016-09-21 21:38:36,2016-09-21 14:38:36
141,Fremont,closed,The Fremont Bridge has closed to traffic -   2:42:29 PM,2016-09-21 21:42:30,2016-09-21 14:42:30
140,Fremont,open,The Fremont Bridge has reopened to traffic -   2:45:20 PM,2016-09-21 21:45:23,2016-09-21 14:45:23
139,1st Ave S,open,The 1st Ave S Bridge has reopened to traffic   - 2:50:13 PM,2016-09-21 21:50:16,2016-09-21 14:50:16
138,University,closed,The University Bridge has closed to traffic   - 2:50:16 PM,2016-09-21 21:50:19,2016-09-21 14:50:19
137,University,open,The University Bridge has reopened to   traffic - 2:53:05 PM,2016-09-21 21:53:08,2016-09-21 14:53:08
136,South Park,closed,The South Park Bridge has closed to traffic   - 2:56:54 PM,2016-09-21 21:56:57,2016-09-21 14:56:57
135,Fremont,closed,The Fremont Bridge has closed to traffic -   2:57:00 PM,2016-09-21 21:57:03,2016-09-21 14:57:03
134,South Park,open,The South Park Bridge has reopened to   traffic - 3:12:20 PM,2016-09-21 22:12:24,2016-09-21 15:12:24
133,Fremont,closed,The Fremont Bridge has closed to traffic -   3:12:26 PM,2016-09-21 22:12:29,2016-09-21 15:12:29
132,Fremont,open,The Fremont Bridge has reopened to traffic -   3:15:48 PM,2016-09-21 22:15:51,2016-09-21 15:15:51
131,Ballard,closed,The Ballard Bridge has closed to traffic -   3:35:20 PM,2016-09-21 22:35:22,2016-09-21 15:35:22
130,Ballard,open,The Ballard Bridge has reopened to traffic -   3:39:54 PM,2016-09-21 22:39:56,2016-09-21 15:39:56
129,Lower Spokane St,closed,The Lower Spokane St Bridge has closed to   traffic - 5:02:03 PM,2016-09-22 00:02:09,2016-09-21 17:02:09
128,Lower Spokane St,open,The Lower Spokane St Bridge has reopened to   traffic - 5:19:47 PM,2016-09-22 00:19:52,2016-09-21 17:19:52
127,Ballard,closed,The Ballard Bridge has closed to traffic -   6:29:18 AM,2016-09-22 13:29:21,2016-09-22 06:29:21
126,Ballard,open,The Ballard Bridge has reopened to traffic -   6:32:42 AM,2016-09-22 13:32:46,2016-09-22 06:32:46
125,Lower Spokane St,closed,The Lower Spokane St Bridge has closed to   traffic - 7:35:52 AM,2016-09-22 14:35:55,2016-09-22 07:35:55
124,Lower Spokane St,open,The Lower Spokane St Bridge has reopened to   traffic - 7:48:54 AM,2016-09-22 14:48:57,2016-09-22 07:48:57
123,Lower Spokane St,closed,The Lower Spokane St Bridge has closed to   traffic - 8:07:54 AM,2016-09-22 15:08:05,2016-09-22 08:08:05
122,Lower Spokane St,open,The Lower Spokane St Bridge has reopened to   traffic - 8:23:35 AM,2016-09-22 15:23:37,2016-09-22 08:23:37
121,Fremont,closed,The Fremont Bridge has closed to traffic -   9:01:22 AM,2016-09-22 16:01:24,2016-09-22 09:01:24
120,Lower Spokane St,closed,The Lower Spokane St Bridge has closed to   traffic - 9:04:52 AM,2016-09-22 16:04:54,2016-09-22 09:04:54
119,Fremont,open,The Fremont Bridge has reopened to traffic -   9:09:20 AM,2016-09-22 16:09:23,2016-09-22 09:09:23
